date,open,high,low,close,volume
2023-03-13,22187.99,24577.92,21579.345095,24175.17,11422.224774271
2023-03-14,24173.52,26476.04,24000,24735.61,16770.346709032
2023-03-15,24728.42,25307.014951875,23930,24375.740301,17128.20712845
2023-03-16,24375.82,25207.85,24209.97,25030.5,13899.020068511
2023-03-17,25032.72,27830,24926.28,27450,13963.570577983
2023-03-18,27450.01,27773.28,26657.61,26983.83,7716.033612012
2023-03-19,26981.38,28464.43,26905,28034.3715,8987.908903191
2023-03-20,28053.81,28560.8,27223.53,27817.21,15278.484536238
2023-03-21,27818.34,28500,27406.01,28194.93,9744.793084807
2023-03-22,28194.95,28900,26685,27326.57,17092.549847865
2023-03-23,27320.17,28772.68,27194.7,28343.1202875,15196.746392508
2023-03-24,28359.55,28437.4358,27084.27,27503.77,11983.624332099
2023-03-25,27503.76,27850,27180,27495.84,6971.595982727
2023-03-26,27490.46,28238.07,27439,27996.22,8162.477786912
2023-03-27,27996.62,28053.330845,26540,27157.89169135,12620.153115357
2023-03-28,27159.65,27594.079224709,26651,27284.81,10182.342128916
2023-03-29,27288.3,28655.51,27257.8,28352.0341765,13495.445538964
2023-03-30,28359.6,29189.54,27719.21,28051.17,17110.476366751
2023-03-31,28045.74,28661.2,27529.53,28475.58,11269.2716756
2023-04-01,28477.43,28824.8,28257.82,28471.96,4539.536341938
2023-04-02,28468.2,28543.69935,27871.91,28196.51,5567.594633072
2023-04-03,28197.63,28522,27300,27814.57,14349.256081279
2023-04-04,27811.05,28439.07,27643.67,28184.21,9779.833784204
2023-04-05,28180.01,28786.01,27861.98,28188.4,9872.547307309
2023-04-06,28182.46,28233.965,27724.33,28053.1285,7291.109971244
2023-04-07,28050.11,28119.47,27782.43,27926.4823123,4221.806154372
2023-04-08,27928.74,28180,27876.03164823,27962.05,2361.457060418
2023-04-09,27957.73,28551.55,27817.06,28338.5430745,4254.656510781
2023-04-10,28347.05,29779.91,28155.3093783575,29652.098,8600.926524397
2023-04-11,29654.01,30566.97,29610.66,30229.9700005,10303.35744947
2023-04-12,30225.91,30500,29698.05,29913.16,7361.712572531
2023-04-13,29912.17,30622.97,29844.9483631885,30408.937085,7485.312441303
2023-04-14,30412.05,31049.99,29989.96,30494.832018,10579.917319488
2023-04-15,30497.53,30624.17,30237.62,30323.03019,3991.279063138
2023-04-16,30327.15,30571.93,30157.85,30330.24,4357.529156422
2023-04-17,30330.97,30441.1781064175,29261.37,29449.134975,7023.930959781
2023-04-18,29454.65,30498.99,29118.04,30395.06809198,8426.09232125
2023-04-19,30401.24,30432.35,28619.92,28836.52,9974.685514136
2023-04-20,28840.85,29102.49,27996.98,28264.7,8512.134304051
2023-04-21,28267.53,28384.463602,27156.84,27280.29,7658.463231469
2023-04-22,27284.4,28079.916282246,27170.85,27834.15,3148.854433017
2023-04-23,27834.15,27916.070426123,27344.2141083,27608.562535,5495.393150825
2023-04-24,27611.02,28014.46,26975.61,27539.86215,8274.521013032
2023-04-25,27542.35,28440,27208.300644705,28322.46,7046.77338005
2023-04-26,28323.29,30046.27,27261.01,28444.49,14931.511017379
2023-04-27,28446.28,29912.28,28258,29496.5388925,15803.782538604
2023-04-28,29489.16,29730.9520605,28922.03,29352.88,6169.048094468
